tweet,hate_speech,offensive_language,neither
i think if my girlfriend were to get locked up shed be the first one raped pussy really bitch really swerve,0,1,0
dumb ass bitches me next time,0,1,0
how do people even get crushes on me im like a total bitch,0,1,0
look at my benz bitch i have been the shit,0,1,0
cool story bitch now pass the blunt bitch,0,1,0
this girl stress me out ion even have no hoes shit i be saying lol,0,1,0
i feel sorry for anyone who paid for lic because edc is trash music,0,0,1
queen latifah the only dyke id contemplate fucking rns wait,0,1,0
lol love you little bitch,0,1,0
when u want a cig but ur lovey gf will not go get them potato guilt trip city lil bitch,0,1,0
traded in my nikes for a new mic i guess it is safe to say he sold soles for his new life bada,0,0,1
there is a time a place decaf coffee never in the trash mommymonday humor via,0,0,1
best asian massage on the brooklyn park slope top rated spa,0,0,1
best asian massage on the brooklyn park slope top rated spa,0,0,1
best asian massage on the brooklyn park slope top rated spa,0,0,1
best asian massage on the brooklyn park slope top rated spa,0,0,1
best asian massage on the brooklyn park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
best asian massage on the park slope top rated spa,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
grand opening top class oriental massage perfect,0,0,1
why lie you are my nigguh,0,1,0
out bitch i am winning,0,1,0
i most defiantly will not let no bitch who fw a nigga i already had get the best out of me fuccin wit my hand me downs shit,0,1,0
i keep that bitch on me it is part of my fashion so nigga see me when you see me catch me in traffic,0,1,0
these bitches bound to get hurt cause a lot of these niggas be playing,0,1,0
fuck your bitch,0,1,0
ion have a bitch so yeah what is understood do not need to be explained,0,1,0
my sister is really going to fucken deny it but yet sprays the room with febreeze like really bitch why are you going to deny it,0,1,0
this bitch ask me why my jeans sag cuz they tryna hold my bandz up,0,1,0
thots are wearing uggs itsfallbecause negros are pulling out their timbs,0,0,1
some of you hoes too,0,1,0
when tha bitches start hating that is wen a bitch lost me,0,1,0
hoes round here just opening legs like walmart doors,0,1,0
when they say him they mean dyke ron wcw,1,0,0
mfw some rachet ass hoe drops some scripture or religious stuff on social media,0,1,0
metal monkey balls,0,1,0
when bitches be doing too much on twitter,0,1,0
when it is yellow outside,0,0,1
nudes are trash,0,0,1
all jokes aside i am goin thru it a niggah heart hurt smh,0,1,0
all the hoes loyal,0,1,0
and you know that i believe it cause her pussy to mee and she do not fuck with many niggahs she do not fuck with any niggahs,0,1,0
annie say fuck that niggah he soo weak he cannot tell that you a freak that you is not lookin for love,0,1,0
august alsina deserved that my niggah,0,1,0
baby moanin got me zone nn i want this bitch next too me pussy like ecstasy,0,1,0
babyy moaanin got me zone nn i want this bitch next to me pussy like ecstasy,0,1,0
beat the pussy up till its red like rosters and after i fuck i get to moovin like the hoovas,0,1,0
being in love stressful ma niggah,0,1,0
bitch caught a body about a week ago fuck with us and we get to tweekin hoe run up on that niggah get to,0,1,0
broke tf outta this niggah at he stopped playen defense and all,0,1,0
cause these hoes is not loyal and niggahs is not either when it go down you callin for hittas that you is not,0,1,0
cause these hoes is not loyal these niggas is not either when it go down you callin for hitters that you,0,1,0
club solo deep fuck a valet cause i parked on the street lordd knows you cannot trust these hoes,0,1,0
do not ask me if i am in my feelings cause i is not no bitch i do not got those tf i am sad not in no fucking feelings,0,1,0
do not sleep on ma niggah chood,1,0,0
elza m jones was whippen and drifting last night lol we was tu this ma niggah,0,1,0
entertain a flirtin ass niggah if you want too that is gon be yo niggah friendly ass,0,1,0
from freshman year to senior year this really my niggah started being brothers years ago today it is crazy,0,1,0
fucck that was ma niggah from cali swag r i p jayare,0,1,0
fuck her right in the pussy,0,1,0
fucking on the first night do not make you a hoe,0,1,0
get some head off twitter now niggahs that is bracken ima baby momma killa yo bitch she can get it you,0,1,0
got niggahs salty at mee cause yo dream bitch is ma main slide,0,1,0
happy birthdayy lol niggahs is really in this bitch,1,0,0
happy birthday to my main niggah right here we been at it for a minute same dreams of bein rich and we,0,1,0
hate a female that got the mentality of a niggah,0,1,0
have you ever had sex ina cherry red vet witha fat trap niggah keep that pussy soo wet,0,1,0
hoes on my mind i fuck hoes all the time fattrel,0,1,0
i is not trippen cause i like her anyways she got a niggah and i got a girl but anyways yea anyways,0,1,0
i is not trippen off you no mo i done dropped you knocked i could neva be a foo for a hoe i put,0,1,0
i do not like when niggahs be like where yo bitch at na i will check you on that idc who you is mine you,0,1,0
i fw these niggahs everyday neva changed up always been the same to a niggah been thru shit with ma niggahs,0,1,0
i guess a niggah just believe in ya that is proof for ya can name a lot of things any other man wont do for ya,0,1,0
i hate a guess who just tried to talk to mee ass bitch,0,1,0
i just feel like my mouthpiece so cold i will give lessons to every niggah that ever got turned down for the low cost of hmu,0,1,0
i know i know i know them streets they fuck with me strong and them bitches gon fuck just because money,0,1,0
i rather jack off then fuck hoes tbh that shit boring give me a wife,0,1,0
i really do not give a fuck once you start that you got hoes you fuck with bitches shit i am deleting yo,0,1,0
i still do not got the time for a bitch to be actin iffy,0,1,0
i thinkk shee knows about maa otheer bitch,0,1,0
i told this niggah maya angelo died this niggah gon ask me is that the red ninja turtle wtf,0,1,0
i took the bitch down in the set yo bitch get around in the set i dicked the bitch down in the set yo,0,1,0
i will never date a female with another niggah name on her lol wtf,0,1,0
i wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful yall really is,0,1,0
i would not bring my girl around nobody but leo he the only niggah i know that would not mess with any of the,0,1,0
i am hard to kill i am countin cake up with ma finest bitch take off her makeup and she still look like a finalist,0,1,0
i am not gon ever be that niggah that hit likes on every picture but i get whoever i want period,0,1,0
i am that niggah you can show out in public babbyy lol,0,1,0
id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch,0,1,0
idk why niggah give a female head then throw a condom on lmaoo niggah you already ate the whole std,0,1,0
if i ever put ma trust ina bitch i will always be hurt,0,1,0
if i ever put my trust ina bitch i will always be hurt,0,1,0
if this ugly ass niggah can be with her i can too tf she with chuu baka for anyways this niggah look like a,1,0,0
if yo new niggah cannot dress better then me or even close to looking better then me dnt try to make me,0,1,0
if you get yo girl took do not be mad at the niggah who did it be mad at her cause he do not owe you loyalty she does,0,1,0
ima kill that pussy straight murder that shit and ima eat it eat it eat it and lick it till it slaps aye,0,1,0
ima pull up eat on that pussy and dip,0,1,0
ima real young niggah witha muhhfuckin attitude walk up i am yo spot you would think a niggah mad at you,0,1,0
ima young rich niggah tryna fuck a niggah bitch my ex a rat the naybahoods be fuckin on that bitch i,0,1,0
indiana niggah you can tell from ma muhhfuckin grammar i swear i got hoes with me just like i am santa,0,1,0
is this jody the niggah that got ma boo pregnant the niggah that cannot take responsibilities as a,0,1,0
it is just me or do you not want nobody else texting inboxing kiking dming snapchatting emailing yo girl or niggah,0,1,0
just was old to me a lil proton feel me some bitches that is gon feel me some niggahs that will not kill me,0,1,0
lemme find out you did not answer my call cause you otp with that niggah,0,1,0
leo apolonio look this niggah did a drive by on the bike,0,1,0
looked at my ex profile and she struggling with that weak ass niggah god is good,0,1,0
ma niggah alsina be doin his thang,0,1,0
make a niggah buy a ring for ya finger jimmies for ya feet jeans for that back lingerie for the,0,1,0
mann these hoes get nothin but some dick and instructions if she with mee she fucckn i said i,0,1,0
mann wake y all bitch asses up blood,0,1,0
my charger got my fucked up finna wrap the cord tf around my phone this bitch finna charge today cuhz,0,1,0
my baby mama trippen and that bitch can shoot,0,1,0
nah i is not no hoe niggah no bitch niggah rich niggah with the shits niggah getchu chipped niggah,0,1,0
niggah said my girl off limits thirsty niggahs stay out her inbox but the bitch look like kunta kintes,0,1,0
niggahs stay thinkin i want they girl not nevva niggah,0,1,0
no feelins for a hoe that is not ma main thang ma niggahs on the same thang all ma niggahs gangbang,0,1,0
o m g you like stop controllin me i am like bitch fuck you thought she like niggah fuck you mean,0,1,0
ok ma texas bitch keep textin me callin cryin stressin me bout where i been but i been with another bitch allegedly,0,1,0
ok my texas bitch keep textin me callin cryin stressin me askin me about where i been but i been with another bitch allegedly,0,1,0
on twitter say she ridin for a niggah that is why i really fuck with her she down to pull the trigger,0,1,0
r i p deshawn i do not know him but i know a darkskin niggah in the hood named deshawn getting shot tonight,0,1,0
ran a good game with my royal niggah,0,1,0
said i is not neva love no bitcch but these bitches steady lovin on me on me ayee so what am i,0,1,0
see i gotta get this money ma palms itchin niggahs gossip like hoes most of them bitches,0,1,0
shawty wanna tell me secrets on how to rap niggah i tell that bitch it is more attractive when you hold it down,0,1,0
she drippen vanillaa she know i am the pussy killaa,0,1,0
she herd i was a dope boy i herd she was a gold digger all i know is she a real bitch so i fuck her like a real niggah,0,1,0
she love it when i talk to her crazy suck a niggah dick with a whole lotta spit let it drip yea catch,0,1,0
she was mad for like mins got over it and hit him right back up lol she care about that niggah,0,1,0
somebody come look at this niggah right here kevin hart voice lol,0,1,0
someone let me know why drake so cold he my favorite rapper this niggah hard,0,1,0
south central niggahs really do not be lovin these hoes these hoes do not be lovin these niggahs we just be,0,1,0
that fb profile checker thing fake then a mf i just added some bitch yesterday and it had me on the top fuck fr,0,1,0
that one niggah that grab the aux cord and start playen weak ass music,0,1,0
the hoes finna be like owiee trey august and chris brown can have my baby at the same time lmfaoo hoes is not loyal,0,1,0
these niggahs bitches call they momma tell her come and get emm it is either that it shoot him or shoot whoever with him,0,1,0
this niggah kevin hart could not sit down lmaoo my niggah my niggah,0,1,0
this be me cuh went from its time to settle down to where the hoes at,0,1,0
this niggah yanni like hangin up on niggahs in mid sentence,0,1,0
this niggah pharrell or whatever this niggah name is do not deserve shit for that white ass gay song,1,0,0
up runnin these fades with ma niggah tyreon leo ko would lmfaoo,0,1,0
waaitt niggah holl up these niggahs come to town start wife n my old sluts,0,1,0
wake up i am blessed steaight kush no stress thankin god for ma success ma bitches say i am the best,0,1,0
with my bestf shyanna pen and ma main niggah ronnie a jackson ii movie bound after we pick up the homies,0,1,0
y all complaining about thirst traps fr theirs models that dress just like that ass out and all stfu do not make you a hoe wtf,0,1,0
y all hoes get turned on for no reason be like owiee he got tats he bang wifi with no password my,0,1,0
y all like sayin money do not buy happiness but name a niggah sitting in a lambo crying,0,1,0
you deserve x august alsina im dedicating that to all my old side hoes,0,1,0
you gotta be a mad a madd niggah sayin ma name i must have got you madd niggah,0,1,0
you messin with broke niggahs you gon be broke niggah,0,1,0
you niggahs actin like hoes i can sale those,0,1,0
you tall tree ass females be talkin bout catching feelings bitch you need to catch this touchdown,0,1,0
when it comes to pussy i have no fucking friends hostel ii is really what we are watching right now,0,1,0
good jeter hero for yankees in send off via,0,0,1
cause they is not her i aint eem watchin the awards yet but why hoes hatin on kim k,0,1,0
damn you whitey you will get a kick out of the newest form of white privilege,1,0,0
eff it let is go after the cripple you have to see wendy davis new attack ad video,0,0,1
every bitch got a fat ass or she from it rns,0,1,0
forget to salute trash the other guy for the bad war during cairo ii sympathize w pockistan gays hurting morale thanks king,0,0,1
scandal sex scene airs on abc right after it is the great pumpkin charlie brown making parents angry,0,0,1
views from the gon be instagram picture titles for a while brace yaself my nigs,0,1,0
i drowned in ur pussy so i swam but easily the most eloquent message sent on xbox live,0,1,0
u turns on yellow no aceptar este luz rojo lights taking too long make me bilingual,0,0,1
co not also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns,0,0,1
looks over at oomf does pretending to have no bitches really work or nah,0,1,0
via charlie angus is sending made in china canadian flag pins back to conservatives,0,0,1
bows down yes bitchmaster bitch,0,1,0
does backflip thiss you niggas switch up your opinions like faggots,0,1,0
gigantic what a big faggot chubbs bout to earl,0,1,0
nicolas cage unrolls dusty secret scroll it says here james madison was a whiny little bitch,0,1,0
searches my yellow pages app for the nearest jack in the box,0,0,1
sings i killed that pussy she died with her eyes open,0,1,0
teachers call you a pussy for not doing senior skip day,0,1,0
after bruh lol i retired after because everything was trash afterwards,0,0,1
bitch breathes me could you not,0,1,0
chops does bird call flaps hands,0,0,1
goes to olive garden turns into a goes black friday shopping turns into a nigger,1,0,0
karate karrenchi still a bird ass bitch,0,1,0
live lol what is wrong with these bitches man,0,1,0
loud jamaican horns then why u still single yall find the ugliest hoes attractive,0,1,0
makes a wise argument about the accelerated warholian notion of celebrity in the era of vine passing teens mock my old wrinkled balls,0,1,0
pops that pussy for singles,0,1,0
pregnant crazy bitch wus the answer we were looking for,0,1,0
puts people bitch face on,0,1,0
rubs hands like bird man,0,0,1
scrolling through fb some hoe says need a man cuddle in the cold with bitch nobody wanna touch your ratchet ass,0,1,0
squak squak squak squak me bird shut up squak alex that was an act of defiance,0,0,1
waits for fanduel to hit me with the jig,0,0,1
joe budden makes people delete their twitter accounts lmfao he is pussy tho he blocked me,0,1,0
otakon badge now with what i am going to lovingly refer to as my cripple ribbon,0,1,0
me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga,1,0,0
why not animal crackers i want animal crackers shaped like master chiefs and trolls and gun is and shit thatd rule,0,1,0
rt ankle socks in general are for the faggots bro,1,0,0
how many hoes do you really have,0,1,0
can i help you maybe you gotta card for sorry that tranny died in your motel room now your wife knows here s an applebees gift card,0,0,1
requires soundcloud links and tumblr bitches he might let you play his party then,0,1,0
i just feel bad for the women that continually flock to such darkness thugs talk the big talk to simple minded hoes and to their own,0,1,0
but bitches catch feelings after all the damn time,0,1,0
lol nah hoes we dealt with it so will y all,0,1,0
does nobody sell orange flavored and colored bubblegum is that your fuckin problem giants fuck it i am going now,0,1,0
is now tweeting from a tablet baller bitch,0,1,0
aand it begins fucking niggers that is all kentucky is and ever will be,1,0,0
and i am goin back to school only for the hoes and a class or two,0,1,0
but if a show about obama was called whitish y all motherfuckers would cry racist like lil bitches blackish,0,1,0
if amber rose can rock a bald head and a bald pussy then motherfucker so can i,0,1,0
you are white are not you rolls eyes rip to my nigga trayvon a worthless spear chucker,1,0,0
yes indeed camels ostriches and zebras sept vccamelraces,0,0,1
loves austin webber such a boon for,0,0,1
really does talk like a buck nigger,0,1,0
is running around town delivering food to people if he takes out the trash too he is the perfect boyfriend,0,0,1
could you just play minutes of the charlie brown wah wah wah adult sound effect instead,0,0,1
doesn t it always feel like we go into the season with offensive concepts that we inevitably trash and then we get good,0,0,1
wow impeachment look at you using your vocab workshop words guess we were only half wrong about you being a dumb cunt,0,1,0
street birds homeless people twittering in amsterdam via,0,0,1
hey you race baiting fbi informant bitch where is your punk ass speaking for justice on this,0,1,0
try visiting at night for a real spook,0,0,1
thank you dawn i see our state bird graces your avatar,0,0,1
klain is real sole job is to dampen down the mushrooming bad pr and political fallout heading into nov election,0,0,1
could be wearing a trash bag and she would still be the stylish and coolest human i know,0,0,1
al qaeda is market share is dropping faster than viacom enron in the jihadi stock market,0,0,1
s love of obama is unrequited however obama is clearly putin is bitch,0,1,0
with putin pushing for land and china completely revamping their armed forces you are a fucking retard stay out my country,0,1,0
baby momma no bitch no wife like pac u need a thug in ya life,0,1,0
good girl is worth hoes,0,1,0
loyal girl hoes,0,1,0
more day bitches,0,1,0
more game of then i am finish my new book john grisham cold then a hoe,0,1,0
thang i know these bitches come n go so keep em out your bussiness,0,1,0
time for the lonely hoes watching scandal re runs,0,1,0
no i am not crossed eyed i am albino cannot control that,0,0,1
vader is a sith not a jedi duh vader is also a whiny bitch yoda is motherfucking yoda micdrop,0,1,0
i m too drunk to walk let s drive i got bitches with me all night and the party don t start til the drugs arrive loaded,0,1,0
you are a semi evolved monkey that is desperately searching for validation and meaning in life bbqd you would be ok with mango salsa,0,0,1
slap a hoe,0,0,1
pretty close trash ass quote this and i will guess your body count,0,1,0
on average but i can be an when need be on a scale of how ghetto are u,0,0,1
days til christmas bitches,0,1,0
mile dead zone radius around philly gotta go to ny or dc the tri state needs better bitches,0,1,0
yea i like my money in order bad asian bitch yea she look just like kemora,0,1,0
mil and its cause of romo bitch ass dez witten not eating,0,1,0
w the depot a pussyfootin xxmas hoe hoe hoe motherfucker santa claws is coming to town,0,1,0
oz arizona is trash,0,0,1
was like blocked bitch do not start they are blocking us in ferguson,0,1,0
shy bitch homosexual,0,1,0
for the eggs sunny side nicca,0,0,1
did twitter ever get you pussy dick,0,1,0
year old pussy tastes like hope,0,1,0
yr scrap from out here might get life in prison for murderin a norte nigga by el pollo loco off of story rd,0,1,0
how i am killin these hoes,0,1,0
and world series rematch yankees braves,0,0,1
the yellow tower by gilbert claes,0,0,1
game of fall finna kill some hoes,0,1,0
come get signed bitch we self paid,0,1,0
iubb games when im in bloomington btown how good is that ncaa basketball college indiana iu hoosiers,0,0,1
adult human skulls found in trash,0,0,1
bad bitches glocks choppas,0,1,0
beer queer,1,0,0
faced bitch,0,1,0
hoes dyke,1,0,0
or hoes for everything,0,1,0
thangs my bitch cannot say i am broke n ha period late,0,1,0
year starting on me on the street so i put a fag out on him funnyguy,0,1,0
not knowing wtf it is bitch,0,1,0
seniors were chill as fuck this years seniors are basic ass bitches,0,1,0
tweets hoe i would like to thank all my supportive fans more tweets to come,0,1,0
you a bitch but you my bitch so we hella chillin also thanks for tolerating me and being my friend,0,1,0
talented drivers i am really glad there have not been any yellows but why have not there been any yellows,0,0,1
rozay idgt mad cuz twan fuck his bitch,0,1,0
on flappy bird suck my dick and lick my balls swag,0,1,0
was real af on temptations thats exactly how it be for niggas getting money and bitches,0,1,0
so who used my email address for this chat line all these bitches hittin me up,0,1,0
coaches are retarded who would put a point guard at the tho,0,1,0
millionaires just walked in why you tripping bitch you paid for the fight lmao,0,1,0
things i cant stand while dealing with a bitch a hit feet b stank ass breath c skank ass ways,0,1,0
years today i was a fucking retard and fell in love why was i so stupid wish i was coldhearted neverlovingsomeoneagain dontneedanyone,0,1,0
bitches fuck wid me,0,1,0
mins for n to pick out a trash can meijer now do u guys understand why i took shots before this trip,0,0,1
bitch we hot we done took flight,0,1,0
touchdown with on the clock michigan some hoes,0,1,0
no i dont like hoes,0,1,0
fat hoes ina caddilac u can tell they jus lost dey luxury car ride virginity hoes too happy lmao,0,1,0
old hoes a ponk and a dyke outchea having girl talk,1,0,0
stacks for the heels on my bitch feet car seat still smellin like keys tell the plug that i am lookin for a increase,0,1,0
moke up,0,0,1
mins until that bitch drop,0,1,0
we know ya bitch,0,1,0
beat my pussy up like i snitched on you and you had to serve time in a state correctional facility for years,0,1,0
and long bitches,0,1,0
bags of chips rice krispies seeds gummies a pop tart some crackers powerades and a water yuhh i am good lol,0,0,1
white men in pick up trucks screaming nigger and my coach got the nerve to get mad i missed the free throw,1,0,0
a m and still awake yay time to chug coffee and red bull for the foreseeable future and hopefully not pass out behind the wheel,0,0,1
is trash,0,0,1
whizzing crackers my cats got into the are now playing hockey with them lol crazycats,0,0,1
are ugly thot bitch shoes,0,1,0
be like come hang out with us but not if u fugly oh and side hoes to the left thnx,0,1,0
user followed then unfollowed me what a prude ass hoe,0,1,0
on these hoes i am not fat i am big boned hehehehehe,0,1,0
am bout to match up wit dis nicca donnydinero,0,1,0
pounds never fails to make me cry im not bitch i just relate to it,0,1,0
years later and this bitch still didnt learn her lesson lol i remember she was the first major nude leak of this generation,0,1,0
needs to hurry up it is chilly in this bitch,0,1,0
of the girls u went to hs with look horrible now but do not wanna believe it i am bout to piss them facebook hoes off with this,0,1,0
mo let kill some crackers kill their babies new black panthers hijack his ferguson presser,1,0,0
species of birds reported in chesterfield for the great backyard bird count how many in your area,0,0,1
species of birds reported in chesterfield for the great backyard bird count how many in your area,0,0,1
percent yo bitch with me percent that scrap with me,0,1,0
of niggas goofy and act like bitches,0,1,0
feature car of yellow and black feature car buck tag is on the radiator support miles,0,0,1
i got a missed call from yo bitch,0,1,0
of the truly talented people i have come across are retarded professionally of the awful untalented people are on point and polite,0,1,0
percent of the trash we dump in the sea is missing this is not a good thing,0,0,1
problems but a bitch is not,0,1,0
problems but a bitch is not one,0,1,0
at some point we need to discuss how delicious the vegan brownie from on u st tastes,0,0,1
well that sucks that kobe is out now he is still filthy you can hate him all u want but if you dont have respect for him ur retarded,0,1,0
all good pussy comes with a price tag,0,1,0
me bitch,0,1,0
me tho this bitch wants to be included so fuckin baldly bruh,0,1,0
the chick who is gorgeous and so fine but her pussy stinks,0,1,0
the person who significant other a hoe and you the s o cheating,0,1,0
no bitch i had to use my whipers,0,1,0
hick yes,0,0,1
that is what happens when your getting pussy pussy or twitter seems like a clear cut choice to me hahahaha,0,1,0
charlie sheen could coach better than crusty dusty yeah they hired bryan price the pitching coach,0,0,1
i bet he is a starbucks queer,1,0,0
bitch you gross as fuck touchin them saggy titties,0,1,0
i could fuck a bowl of graham cracker cereal,0,1,0
bitch caught a body about a week ago everybody catching bullet holes,0,1,0
hard to qa time is also a pain to mock out in unit tests,0,0,1
bitch,0,1,0
nothing like waiting till the last game of the season to peddle it shit website heeb,0,1,0
fugly loose hoe,0,1,0
blessjesus yes felt and touched the soles of the humanity with stains and impressions that only leaves its reflections,0,0,1
booksofgodwidom proverbs i also will laugh at your calamity i will mock when your fear cometh,0,0,1
holyspirit god still share his secrets amos blessings jesus,0,0,1
jesus genesis out of the ground the lord god formed every beast of the field and every bird of the sky initiating,0,0,1
bitch you fucking told me to sit in that seat and yo dumbass come again saying why you sitting there bitch,0,1,0
fag,0,1,0
bitches will be bitches,0,1,0
fuc her and her pussy nasty,0,1,0
maybe not but you crow about obama and democrats so you are a mawbar might as well be a republican,0,0,1
what we do with our foolish proud selves roll our eyes pretend that we dont see mock or laff at them arrogant attitudes,0,0,1
and he whips mommy with the belt they have not arrested this black womans real nigger yet she got what she wanted death,0,1,0
he aint a real nigger oh my bad a real nigga but praise the sonsof satan for having not a realnigger qualitaties im hating,0,1,0
no wonder you run nose first for yo real nigger white devil massah is or any man pointing at another to convince u he is less,0,1,0
cry over lost pussy more emotional than a sissy they get out front on hoes simple minds point brothas like me out,0,1,0
them bitches need a tan,0,1,0
it was old ratchet hoes bruh,0,1,0
pussy,0,1,0
yu ah hoe,0,1,0
i wonder what charlie brown would have to say about these days,0,0,1
good enough fag,1,0,0
little bitch your ass is getting tased when i get home,0,1,0
haha still a little bitch though,0,1,0
bc she is a cunt hoe bag,0,1,0
she looks like a plastic monkey doll,0,0,1
lmao excuse me bitch i am not soundcloud,0,1,0
go be cunt somewhere else,0,1,0
stfu hoe and fucking answer me before i smack the shit outta you and your faggot aunt,0,1,0
so glad you did this i am still trying to figure out emoticons on this damn motorola to give that bitch the finger,0,1,0
if it is trash i am kickin yo ass,0,1,0
reminds me of oreos lmao,0,0,1
all them bitches far as fuck from us we got el gran pollo up this way and it serves us well,0,1,0
iycmi i cannot get any work done if you keep showin off your bitches,0,1,0
ima act like i hit that hoe then pass it like i was earlier,0,1,0
fag rhymes with gag,0,1,0
fuck you tony you greaseball piece of shit,0,1,0
u said me hoe so i did,0,1,0
hoes,0,1,0
if she do then she gone die too i is not playin dawg bitches gone be ruthless then i will be too,0,1,0
push me on the wall slowly take my panties down and write alphabet with ur tongue on my tight pussy,0,1,0
its time amend amendment it was written to protect newly freed ex slaves its lived its purpose time to end anchor baby loophole,0,0,1
i laugh oreos and lady gaga on a sunday day,0,0,1
yeah i run over squirrels and coons,0,0,1
bitches are hoes do not be surprised,0,1,0
faggot,1,0,0
hey i do not always go there sometimes these three crazy bitches and one suave mfer trick me into going with them,0,1,0
just watched the llewyn davis doc warm fuzzies abound,0,0,1
what you laughing at hoe,0,1,0
beautiful bride tell erica congrats if she remembers a nig,0,1,0
lmao brutal for the nigs who cannot get jobs lol,0,1,0
sighs not a bitch i am a woman learn the difference i know i am fat it is called a scarf dumbass,0,1,0
dr phil i am having trouble figuring out what my fat ass wants to eat where are the drinks and the bitches,0,1,0
have heard hillbilly grousings that bugs much worse in the kv since mic shut down,0,0,1
and i just cleaned the entire fucking weight room looked like a tornado went through this bitch c mon franklin,0,1,0
that is not ghetto that is sweet and a movie quote try again,0,0,1
they are little bitches when they are proven wrong momsdemand gunsense,0,1,0
shut up bitch,0,1,0
bruh i am under blankets like a bitch right now,0,1,0
you are not ghetto tho you can live in the hood and not be ghetto facts,0,0,1
no bitch,0,1,0
man too much damn giggling was going he was offering tips and shit lol think i even heard the bitch spit a couple times,0,1,0
two trash ass passes you know damn well you saw it too on and down before santos won the game,0,1,0
yeah cannot lie tho spitting on a cop car right with their bitch ass in it feels damn good,0,1,0
you are a fucking pussy,0,1,0
crusty hoe,0,1,0
double up on this game bitch,0,1,0
bitches tryna take all my money g,0,1,0
why you talking to me at almost we ain t friends pussy,0,1,0
i like my gross yellow heat lamps why,0,0,1
we have tried each time we go he just sits there in silence and i cry like a bitch and sweat,0,1,0
clams to be a comedy writer untrue,0,0,1
really bro that retard even missed the point of greeneggs ham it means do not knock it til ya try it,0,1,0
yeah tht a bitch we is not gay brah chill,0,1,0
i may have just cried a tad illmissu shiner,0,0,1
snapchat got hacked all of you hoes about to have some explaining to do,0,1,0
i have seen a number of bitches on here say there is no such thing as loose pussy lol ok,0,1,0
no ghetto names,0,0,1
nigglet,0,1,0
imma bitch i know leave me alone,0,1,0
i do not be on the hoes but these hoes on my snapchat,0,1,0
hell yeah i got bokoo hoes when i had my fro,0,1,0
big congrats to all i expect him to be blogging on rube chat in a few days now get some sleep you will need it,0,0,1
alqueda does not use cell phones or the internet wow you teabaggers are stupid,0,1,0
bitches or wat,0,1,0
haha shit niggah i wish,0,1,0
lol bitches from riverside to la ahah,0,1,0
nah i thought u had to bitches lol didnt know peters girl was one of them lmao,0,1,0
niggah lol i had beers before i went to the bar then had beers at the bar then got a on the way home lool,0,1,0
bitch who do u love,0,1,0
i was texting a bitch,0,1,0
i am on this hoe like this every night just be tweeting bullshit,0,1,0
lol cause these hoes love me,0,1,0
so y all niggaz is not never listen to no slow shit with a bitch,0,1,0
lmaoo hell naw bro i be up i have not seen that hoe,0,1,0
lol i was bout to say shit income tax in i am tryna find me a bitch for a couple weeks,0,1,0
please stay safe you guys i love you so much i hoe to one day meet you guys happy halloween,0,0,1
that evil son of a bitch deserves everything that is coming to him,0,1,0
niice my nigga schinder pullin hoes,0,1,0
bad bitch with me wonder where my manners go,0,1,0
karma is a bitch,0,1,0
bitch stop fucking playin with me you know wtf i am talkin about,0,1,0
this niggah be lying,0,1,0
seen a pic of nigs robbing a store caption said protesting gos on in fergerson lol i do not like pigs either but wtf,0,1,0
but i live in the south lot more here my pop lives in rhode island hardly no niggers there,1,0,0
so basically you like the background music fag,1,0,0
them hoes was trash,0,1,0
you trippin bitch,0,1,0
real rap fucked that bitch lay up for the day that is really disrespectful like bitch u could not feel the throw up coming,0,1,0
like a hoe gettin dick all day and then tonight she gettin more,0,1,0
stop being mean bitch,0,1,0
is my main bitch,0,1,0
i like them dark light carmel white red tan yellow blue purple green it doesnt matter what color they are,0,0,1
just remember to keep the skirt dark colored it camouflages all that pan dimensional gore,0,0,1
the hoes be by my house we be at tony spot mf,0,1,0
he said he got you in workouts pussy,0,1,0
do not call my buddy cambron retarded man smh thats rude,0,1,0
but can we all at least agree that you whining like a little bitch because someone threw your phone is absolutely hilarious,0,1,0
haha says the little bitch who let someone take his phone a real man would not have let that happen a little bitch would,0,1,0
so a man who is a pussy and a coward overpowered you and easily took what was yours you are clearly much less than a man then,0,1,0
your incessant whining like a worthless little bitch is the funniest thing that has happened all weekend you are not a man,0,1,0
