tuit,G,L,B,T,O
"@CiroGomezL @lopezobrador_ Vean como el presidente electo por 30 millones de ilusionados con un supuesto cambio, no cumple nada de lo que ofrece. Aunque se trate de casos de vida o muerte. Ahora después del niño ahogado @lopezobrador_ reacciona, no por apoyarlo, sino por intentar no ser impopular. Maricon.",1,0,0,0,0
@NiurkaMarcosTv Creo que usted viene de una relación gay o lésbica verdad o es extraterrestre pero  confunda el amor como usted dice con una cogida. Los hijos sagrados y usted no tiene carácter social ni etico ni moral solo es su vana expresión queda shows. Por 1ra vez contigo  @_PonchoDeNigris,1,1,0,0,0
"En una sociedad donde las preferencias sexuales son una moda y no una libre elección aparentemente innata, aborrezco a los ""homosexuales"".",1,1,0,0,0
"Intensamente y Creed, todo lo demás está de hueva, pretencioso y gay te odio puta chica danesa",1,0,0,1,0
@charlsjav Pinches jotos,1,0,0,0,0
Y la jotita Michoacána?,1,0,0,0,0
9 puñales viéndose fijamente. url,1,0,0,0,0
@MaricelaArnaiz @_Bisou_Caramel_ No soy puñal.,1,0,0,0,0
@Erik__Ra No uso desodorante ni artículos homosexuales yo huelo a hombre,1,0,0,0,0
@kazitas78 Se ven bastante jotos,1,0,0,0,0
@julio_t9 @CARandDRIVER @Hennessey_Perf que marica,1,0,0,0,0
@gaboo_o  e joto invitate a ver el juego el sabado jijiujiuj,1,0,0,0,0
Poropompom el que no salte es un chemo maricon,1,0,0,0,0
@oficial_AAAdave @Margarita_Ramss @TonyElpatron97 Calmate afeminado,1,0,0,0,0
Cómo por qué tiene 6 favs putos url,1,0,0,0,0
Puto el que lo lea :v,1,0,0,0,0
@MalignaBambola nonpues que esta ciego o que que una chica sexi te habiente el can .pues de plano es gay o algo le pasa y que mal por ti,1,0,0,0,0
Me sacaron una muestra de sangre 🩸 en la tarde y mi brazo aun siente dolor. Soy tan pinché maricon para todo lo que implique agujas en mi cuerpo que me da harta risa cuan joto soy #inyeccion #muestradelaboratorio #sangre #MTY url,1,0,0,0,0
"Todos ofendidos porque Molotov cantaba PUTO, wey en México el PUTO no lo vemos como sinónimo de “homosexual” PUTO es el que le pone salcita de la que no pica a sus tacos, el que le va al America, el que se ofende de cualquier pendejada, esos son los PUTOS! url",1,0,0,0,0
@_ItzelArizpe pero pues esta bien. No? Aclaro que lesbiana de las bonitas. De las que salen en las porno y así. No de las de Tacubaya,0,1,0,0,0
@_AngelAlcala @amealegarza OH RAYOS! YA VINO EL JOTO,1,0,0,0,0
@revistaproceso pinche joto!,1,0,0,0,0
@43Danielsh sin ser joto,1,0,0,0,0
@caderas_blancas @FerLeon_Mx @callodehacha @lopezobrador_ Mira nomás! Y el hombre trans tiene escroto? Digo aprovechando el comentario,0,0,0,1,0
"@lord_inario No tiene, es puñal",1,0,0,0,0
"@KMbappe @neymarjr Nel mi #Mbappe, que chingue a su madre el putito de 💩 de #Neymar, un #AigrecitoJuerte y se cae pinque mariquita de miércoles #ALV",1,0,0,0,0
¿Desde cuándo los jugadores de fut se volvieron tan homosexuales? url,1,0,0,0,0
"@Kali_ta Que renuncie este estupido presidente antiPorfirista, y que renuncien todos los del senado de la Republica por permitir que  los maricas y lesbianas, y transexuales sean respetados. DEBEN SER FUSILADOS.",1,1,0,1,0
"@Luzkabrona no sabía que eras lesbiana aunque sí tienes como tipo de machete, pero me sorprende que te encueres😷😷",0,1,0,0,0
@EdgardBeltran @AlexBurruel1 no traen nada jotos,1,0,0,0,0
Esto está más montado que el pitó de una drag url,0,0,0,1,0
@normareyessolis los dos Jotazos ojalá fueran homosexuales pero son maricas con poder y de closet secreto a voces!,1,0,0,0,0
@LilveronicaR @marica_1029 my sueño hecho realidad. 😍 url,1,0,0,0,1
@RenaSuspendido @PonchoGutz Ya no contesto el jotito,1,0,0,0,0
Es un homosexual reprimido y por eso está resentido con la vida url,1,0,0,0,0
"Alguien recuerda cuando salió Justin Bieber con su sencillo ""Baby"" y todos pensamos ""que bueno que le den la oportunidad a una lesbiana""???",0,1,0,0,0
@RoVazquezL y es un joto pocos huevos. Si tienes foto: dm y la publicamos nosotros!!!!,1,0,0,0,0
@_MichelleSamano El niño parece doña cincuentona lesbiana del sur.,0,1,0,0,0
Este marica solo se quiere deslindar de sus promesas de campas. url,1,0,0,0,0
Ser valiente ponga #Foto y no Sea #Maricon  yo tengo mi foto @MarceTyS aunque también algo tapada pero me pongo con ud 🐜 url,1,0,0,0,0
RT @angelgcm: Malo que fuera joto jJajajajajajaja 😂👌 url &lt; Que triste. Que fuerte ver a un chiquito hablar así. :(,1,0,0,0,0
"Lo que tienes de hablador, los tienes de PUTO",1,0,0,0,0
@WeritaAraiza No me veo con unos pantalones atigresados!! Que jotos jajajaja,1,0,0,0,0
"@JesusLopcorCSL @ElCarlosRdz @RamonUz11 Falta y quieras a la gilbertona wey, inche maricon jajajajajaja url",1,0,0,0,0
Pinche grupito de puros putos no mmes,1,0,0,0,0
Me he vuelto muy marica con las películas de amor. Me odio.,1,0,0,0,0
@52lindaG Si🌚 me gusta la pelea. Jijiji vamos a darnos en la madre mariquita,1,0,0,0,0
"@Mario__TAG @freddier Nono. CURSO PROFESIONAL De Eco Drag Race Car. * Estudiantes por los millones, se crowdsourcea un nuevo Tesla *",0,0,0,0,1
"¿A dónde te vas a ir de vacaciones?
-Nueva York
-Las Vegas
-París
-Londres.
Todas las jotas clichés que no se saben otros destinos.",1,0,0,0,0
"@edgaromarel @SoyDonParty @XoloElvis @Claudiashein @lopezobrador_ Aparte de joto con delirio de persecución, si te fuera a secuestrar van en comiendo y camionetas no en un taxi acompañado de una niña. Chairo estupido.",1,0,0,0,0
@Eneberreache @carlosmaguey pos por marica,1,0,0,0,0
"@EstebanMqzG Que puto primero se burla de nuestro crack y luego llora cuando lo encaran 
#marica",1,0,0,0,0
"Por que hay puros PUTOS ahí ? 
Por que lloran como señoritas los hombres ? 
Son puros puñales ?  url",1,0,0,0,0
@DanielPolina21 marica,1,0,0,0,0
"Hay que promover una ley contra la propaganda homosexual, que condene la difusión de cualquier tipo de promoción de la homosexualidad dirigida a menores de edad con multas y penas de cárcel. url",1,0,0,0,0
"""Es que es url""

@sneeil 🙊😅😄",0,0,0,0,1
"@GlodeJo07 Puro pinché chairos y chairas huevonas que se pongan a chingarle y dejen de estar de mariquitas 
Por eso estamos como estamos por esta gente que no sirve para nada
A chingarle a trabajar y estudiar
Bola de bale madres como él gobierno chairo que tenemos encabezado por López 🤬💪",1,0,0,0,0
@Danielcp08 No llore joto jaja,1,0,0,0,0
"Cc que Jotos los hombres que usan ""Cc""",1,0,0,0,0
Tener todos los álbumes de Justin en iTunes no me convierte en gay verdad?,1,0,0,0,0
👏👏👏👏👏👏👏👏 pinche joto,1,0,0,0,0
@dparamooficial Te hablan @ejimenezalvarez &gt; puto!,1,0,0,0,0
Morirse en una clase de la escuela es pa' jotos,1,0,0,0,0
"@sergiotbh Yo no estoy en contra de los homosexuales, es más, tengo amigos. Mientras se queden ahí, con sus actividades ""peculiares"" y no se quieran casar o peor aun adoptar a niños inocentes, yo seguiré apoyando.",1,0,0,0,0
"🔥HOY vista la Tienda @Gravitymty
➡Calle Matamoros 917, Barrio Antiguo #Monterrey
📱8117168513

#guadalajara #jalisco #cdmx #mexico #saltillo #Jockstraps  #underwear #swimwear #gym #gdl #mty #jal #short #bañadores #bikinis #thongs #brief #gay #tshirts #underwear #ropa #playeras url",0,0,0,0,1
Hey joto estoy aquí afuera de tu privada @cesarvc94,1,0,0,0,0
"@mickemeda Aplica de cualquier modo, si muchos homosexuales michoacanos fueron a cedemex se desequilibró la balanza dejando una concentración anormal",1,0,0,0,0
@asfixiada tienes una sobrina lenchita desde chiquita o tenía hambre nada más?,0,1,0,0,0
"Mi Panda de Oro con el miembro de fuera. Lo quiero mucho, vaya cagada de Fox Sports rompiendo el tridente mágico para meter con calzador en las narraciones a la machorra.",0,1,0,0,0
@jesusEsc11 Callate joto,1,0,0,0,0
"-Mario es un puro maricon
-Ese puto maricon ya tiene disco de oro
TDFW 😎🤘🏼

-Ale🤘🏼 url",1,0,0,0,0
Pinche jota.,1,0,0,0,0
"Siempre los cariñitos me han parecido para maricones, y ahora hablo contigo en diminutivo, con nombres de url",1,0,0,0,0
"@cardonamex @antonio78391259 Los insultos no son por  informar, son por mal informar, para desprestigiar,  andan pregonando de lo que carecen el que se lleva aguanta y no anda de cobarde ni de chillón cómo marica de ropero viejo No que muy sácale punta hipócrita..",1,0,0,0,0
"@vikh666 estuvo (se escuchará medio joto, pero es la verdad) re bien bonito.",1,0,0,0,0
"@TeamMovAzul Ah pero primero estabas mame y mame ""este la la a romper "" ""excelente trabajo de la directiva "" coman caca igual ches putitos villamelones. 🙄",1,0,0,0,0
"En época de Hitler no se decía ""eres gay"" y, sí ""eres un joto"" al campo de concentración @UndiaParticular @EdithGonzalezMx @dgomezcasanova url",1,0,0,0,0
"@marianadurazom @CrisRivera22 No sean maricas, vamos a comprar otro mejor para empezar a escribir historias. 😊",1,0,0,0,0
@GeraLetipichia7 Huele a marica,1,0,0,0,0
"Lo siento, soy muy marica para el dolor )':",1,0,0,0,0
Pinche estupido marica wey quítate del aparato alv 😑,1,0,0,0,0
"@_LASNOTICIASMTY @Katerin Cavazos y el @jotoprieto Qué te puede decir este pendejo que viene 3 a 4 veces a Monterrey , engrandecido a jotos pendejos url",1,0,0,0,0
"Si ves un perro callejero  y a un gay mata primero al perro, el deber es primero y despues la diversion #ExterminenPerrosDeLaCalle",1,0,0,0,0
"Sabía que eran maricas, pero no tan descarado!!! 😂😂😂😂 url",1,0,0,0,0
JAJAJAJAJAJAJA MARICA DE MMMMMM url,1,0,0,0,0
"Señor @eliabito le sienta bien la televisión, debería ser conductor de tv, nomas hable con más huevos que se escucha como joto jajaja",1,0,0,0,0
@Tamedamus @atlasfc Las mariquitas les dicen ahora!!!,1,0,0,0,0
@Luis_AcaShore jajaja! Cállate que eres el menos indicado en hablar!!pero ya veo que eres un maricon que le encanta pelar con viejas,1,0,0,0,0
"Me acabo de enamorar de un hombre y resulta que es lesbiana, juay Diosito me haces esto to me?",0,1,0,1,0
@metik Pinche puto. Y seguramente se mete otras cosas,1,0,0,0,0
"¡No te tocaron, pinche maricon!",1,0,0,0,0
@agh_bo @Adal_gvc No lloren jotos,1,0,0,0,0
"LeBron es una diva, todo reclama, ojalá hubiera jugado contra los Pistons o Knicks para que viera que es madriza.

Mariquita el ""rey""",1,0,0,0,0
"En mi caso con:
- Closeteros
- Escorpio (son los peores tlj)
- Doctores
- Ni con niños ricos hijos de papi y mami url",1,0,0,0,0
"@Psaramanuela2 @palopalitom Visaje el suyo marica, ya sé ve peor que ya sabemos quien ...",1,0,0,0,0
Puto viejo joto alvvvvvvv pícate el culo con tu punto formato a3 y las vergas esas de ishikawa me la pelan alv pendejo metete el 6 por la verga alvvvvvvvvv,1,0,0,0,0
@Fer_Gay Tienes más entradas que la defensa del América (la cuando se empiece a quedar pelón),0,0,0,0,1
"Mariquita mariquita, como niña siempre gritas",1,0,0,0,0
Comprar ropa de mujer aunque parezca de hombre te hace gay? Sean serios,1,0,0,0,0
"@Zangavii @Zangavii será gay solo así se entiende su accionar de por sí tienen fama de maricones, no piensa le gana la emoción",1,0,0,0,0
Puro joto va a la escuela hoy,1,0,0,0,0
@Csalcedojr con ese color de cabello parece travesti de la merced! Jajajajaja @TigresOficial url,0,0,0,1,0
Tantos tatuajes y yo taaaaan pobre y marica al dolor 😖,1,0,0,0,1
"Hasta eso los hombres gays como que son mas estéticos y refinados, las lesbianas machines no url ya, saludos a la comunidad LGBT.",1,1,0,0,0
ME URGE DECIRLE A UNA MUJER TRANS QUE ES HOMBRE Y QUE SU PRÓSTATA url,0,0,0,1,0
Paco maricón QL url,1,0,0,0,0
Homosexuales de agarran a puñaladas? El chiste se cuenta sóurl url,1,0,0,0,0
"@BullyingFutbol listo , entonces te envio donde sea maricon.",1,0,0,0,0
Ya tiene cara  el maricon cobarde pocos huevos @AccionNacional  UAEM url,1,0,0,0,0
@Gerard_Zarate Quien va a querer ser una loca amanerada?,1,0,0,0,1
"Que mamada eh !
Seguramente todos los que irán a esa pendeja marcha , son mas closeteros que nada! #MarchaPorLaFamilia",1,0,0,0,1
Para qué ser una jotita discreta si puedes ser hetero-moderna.,1,0,0,0,0
"@ErikaAraujo1 @Reporte98_5 en contra, debe ser papá y mamá, más no gay y gay. Saludos desde el sur del df. Tráfico fluido el sabueso dl Sur",1,0,0,0,0
"@HadaLizy @CervezaTecate @tecate no hay broncas, usemos mujeres Trans peluqueras para hablar de orientación sexual. Educación nula.",0,0,0,1,0
@rdz_roberto @donrober_ nosotros si sabemos. Perder marica,1,0,0,0,0
"Que asco mi vida santa
Que asco corazón santo. 
mi TL está lleno de jotos haciendo ejercicio
POOOOOOOOOOG",1,0,0,0,0
Con Argentina se chingan pinches holandeses maricones hijos de su PTM!!!!,1,0,0,0,0
@AlbertooCervera jjajajaja homosexual,1,0,0,0,0
"@L_Hirieo Otro
-  feministas tradicionales: ""la imagen de la mujer es cosificada para el hombre""... mujeres trans: ""quiero ser re sexy (cirugías mil)""",0,0,0,1,0
Había conocido gays y a ti 🤢.,1,0,0,0,0
@DanielGCalderon te cortaste el pelo marica ?,1,0,0,0,0
Jajajajaja me voy enterando que la alcoholica closetera me acaba de decir “BORRACHO” y que le tiraba la onda a los ejecutivos de @ImagenTVMex 😂😂😂😂 anda ardida esa mujer!!,0,1,0,0,0
Nos cooperamos para hacerle una restauración? A ese @clarketo ? Pero de culo que seguro es lo que busca arreglarse el closetero del clark. Su bautizo fue de 🥛 que se acuerde y regresa al buen camino 😂😂😂😂 url,1,0,0,0,0
"Un slam como en el rocodromo, culos toodos, miedosos, maricas.",1,0,0,0,0
Anoche no me desmaquille y hoy paresco travesti,0,0,0,1,0
"Nosotros los rockeros: pinches BTS son bien puros. 

Nosotros los rockeros tambien: calmateeee cabron, Freddy Mercury no era url Era su Putisima majestad.",1,0,0,0,0
@Pierre_C97 @vEdgar45 @pptnlk @MonchePepe @InvictosSomos Si la verdad se ve muy joto ese!!! 🙈🙄🤣,1,0,0,0,0
@MaestroDoria Ese nombre suena a transexual jajaja,0,0,0,1,0
"@AlanThePrince @n_eslaquit usted, joto xdd",1,0,0,0,0
@AleRayado Ya vas a empezar marica.,1,0,0,0,0
"Es feo que a esa altura quieran taparle el ojo al macho y seguir de closeteros, neta a los dos se les veía el precio y pues ojalá y el despechado haya mandado a la verga al closetero o bi o quizá solo era culero.",1,0,1,0,0
MARICA! ✊👊,1,0,0,0,0
"Lamentable que mis seguidores hombres, sean tan homosexuales. url",1,0,0,0,0
"—Le aplicaremos una prueba de alcoholímetro, ¿Ha bebido hoy?
—Una capuchino moca y un Nestea frío.
—Ok, la multa es de $2,800 por maricón.",1,0,0,0,0
"¿Por qué hay tantos homosexuales y lenchas en la carrera de QFB, aquí en la UAM? ¡¿PINCHES POR QUÉ?! 😵",1,1,0,0,0
@ivnuevo @noser2226 Osea sí eres marica?,1,0,0,0,0
"La verdad Ricky es el mejor amigo hombre que todos deberían tener, yo lo quiero mucho. (Que bueno que no tiene Twitter porque luego me da un putazo por joto) ♥️",1,0,0,0,0
"@celsoeibarra Aaaayy no,o sea si debe estar chida la actuación de este hombre pero no, ya me tienen hasta keke los trans",0,0,0,1,0
"@ExatlonMx @Antonio_Rosique Por mariquita, un capitán y campeón mundial, no se comporta así, Puyol le podría enseñar modales",1,0,0,0,0
"@fabian23ramos @DarachKMarti @FranPHolland Mi opinión del tema de actores/actrices trans es:
Cero broncas con que una persona Cis haga el papel de una persona trans pero entonces que dejen de joder y le den papeles Cis a gente trans (la inversa).",0,0,0,0,1
@Cruz_Azul_FC ¡cómo me caga que siempre que hay ventaja se convierten en unos putos maricones y ahí es donde nos friegan carajo!,1,0,0,0,0
@Luisa_Vox Este tipejo es homosexual. Se odia èl mismo.,1,0,0,0,0
@ElPulpomo @EVIDEGARAY @jrsestaca y le va a regalar un tradicional chorizouw a su hermano Marica,1,0,0,0,0
"@Dana_Corres @ytzmaya @sof_j @laura_lecuona @la_go_mess Hmmm te entiendo. Reconocer diferencias implica luchar por terceros.

Solo, ¿como no aplica esto con mujeres indígenas? O trans-nacionales?

Ahora, como yo lo veo -digamos que desde lo personal- yo me estoy sumando a tu lucha. No negándola.",0,0,0,0,1
los fifas cuando vean a mucho joto en el estadio del superbowl para ver a Rihanna url,1,0,0,0,0
"Me considero open mind, pero tengo mis límites, conocí a un tipo que dice ser no binario/queer, usa bigote y barba, usa tacones , botas de prosti, ropa de niñas, en verdad raya en lo ridículo, me causa intriga qué pasará por la mente de esas personas. 🤔",0,0,0,0,1
Que pena que el mejor performance sea de unas vestidas. Que malos premios #VMAs,0,0,0,1,0
@Ivanecia_ Se volvió transgénico y transgenero y ahora tuitea con el arroba de Lizmenita,0,0,0,1,0
@RealMaroSilva no hay nada que me de mas disgusto que ver a una persona Trans que pasa escondiendo ser Trans. Como si .. Que.,0,0,0,1,0
@thalia por que me bloqueaste de #Instagram acaso te dolió lo que dije de tus thalifan la lencha esa?? Respondeme,0,1,0,0,0
Pinche morro meco traes un Mazda y te estacionas en doble espacio para que no te lo rayen 😂 ni que fuera Ferrari joto,1,0,0,0,0
"Puto: check
Joto: check
Maricón: check

El problema es suyo, no nuestro.",1,0,0,0,0
Me toco un gay en Uber☹️,1,0,0,0,0
O ya mejor me hago puto,1,0,0,0,0
"Mi Compa es bien marica, pero está curado el vato. 😂😂",1,0,0,0,0
@ASCUNMX @Jackskinripper @rivero_vic Que url ando url si no url ( como buenos putos que son) no url,1,0,0,0,0
Pinche joto chismoso,1,0,0,0,0
Pinche joto!!!!,1,0,0,0,0
"@ManzanoDante @gilelihu Ese mariconcito todo rayado es el que dice que al Presidente lo apaleen? Chales, seguro no sale de antros gay, para después simular heterosexualidad. Sin bronca por lo LGBTTI, comunidad muy respetable, pero desde China y con neblina se le nota lo maricón, lo cobarde y lo alienado",1,0,0,0,0
"@Caarloosgzz Quibole puto, eee peda el fin sbs tqm bye",1,0,0,0,0
@Andres71885443 @SancadillaNorte @lahinchadamx Con todas las historias que los rayados le han inventado a sinergia ya hubieran escrito un libro más famoso que las mil y una noches!! Lamentable!! Pero bueno se entiende si su líder es el jotito del sabalero 🤷🏻‍♂️,1,0,0,0,0
Yo le hacia el cambio de sexo gratis a #Daniel por maldito joto cobarde #YoNoCreoEnLosHombres,1,0,0,0,0
"""@AlmaCulera: Los hombres dicen ""sólo fue sexo"" para no verse tan maricas.

Las mujeres dicen ""fue por amor"" para no verse tan putas.""",1,0,0,0,0
"Que difícil ver s los jóvenes de 15 y 17 años, muchos aun buscan su identidad y pasan por diversas etapas, chaka-emo-hipster-bisexual",0,0,1,0,0
@leftkist @realAnthonyUSA Si fueras hombre te agarro a madrazos @realAnthonyUSA . Así que mejor te madreo a puras cachetadas. #puñal,1,0,0,0,0
"No puedes nacer homosexual, es una mentira.",1,0,0,0,0
@migangelgarzam Así es de joto.,1,0,0,0,0
@Maggie_Glez1 El pedo es que te salga un esposo transexual y ps ahí cambia todo.,0,0,0,1,0
@Enea_Salgado @VelascoM_ Veeeerga y hay quien cree eso? Que este idiota maricon hizo algo bueno por Chiapas? Digo además de AMLO y sus 30 millones de idiotas,1,0,0,0,0
Macho alfa que se respeta no se anda con esas mamadas de usar guantes para entrenar. Pinches afeminados con los huevos de adorno pendejos.,1,0,0,0,0
Después de esperar tanto el tenis ahora tiene uno que oír las estupideces y comentarios innecesarios además de su voz de joto de @JoseLuisClerc #TENISxESPN #USOpen2020,1,0,0,0,0
Kpx con mi voz de trans. 🔫🔫,0,0,0,1,0
Esos gays apenas no les puedes decir algo y ya piensan que quieres sexo Jajajaja 😂,1,0,0,0,0
@Faitelson_ESPN Puto gordito ! Eres de moral distraída . Satanizando a ReNalgon Ibarra,1,0,0,0,0
Cc peleaban con Rugal y ponían a Roberto Carlos de delantero así o más putito el chamaco.,1,0,0,0,0
"@teffyantonelita cada que alguien te discrimine, lencha, piensa que tú igual discriminas a todas las mujeres Trans que no veas ""ok"" TOMA TRH",0,1,0,1,0
Ta muy jota la foto vdd?,1,0,0,0,0
"¿No también hay que respetar el hecho de alguien repudie a homosexuales/afroamericanos/etc? Digo, hay quien gusta de vivir odiando cosas.",1,0,0,0,1
@ramidrink83 Al menos no es pa jotos amigo,1,0,0,0,0
"El mejor modo de confesar algo horrible es decir “OIGAN TODES” seguido por algo así pero deleznable.

Y bien que pueden decir donde enterraron a JFK y a Colosio luego de su parrandón homosexual. La gente solo va a leer y no superar el “todes”. url",1,0,0,0,0
"Jotos, respétense tantito. No jodan. url",1,0,0,0,0
"@Stevenneira La triste retórica de las personas homosexuales victimizándose. Como bien dice Steven, ni son de otra especie ni se les ha negado nunca algún derecho. Pero se quieren adjudicar pseudoderechos en contra del bien y sentido común.",1,0,0,0,0
"@SimonJCCor Pobrecito..
No se le cayeron los lentes al mariquita. ?",1,0,0,0,0
"@HebbWS Seh, la lista es SÚPER larga. Es solo que en entretenimiento te topas con gente gay en todas las esquinas que se escudan en closet",1,0,0,0,0
"Una de las cosas más vale verga y jotas del mundo es decirle #tipa a una mujer. Mejor dile #puta, suena menos mal. Si lo haces, homie: url",1,0,0,0,1
Me caga que los jotos se hagan los que url,1,0,0,0,0
Goooooooool gooooool!!!! Rayado maricon!!!!,1,0,0,0,0
"Los rumores son ciertos; los maricas la chupan mejor que las mismas url #NadieMeLoContoYoLoVi url""",1,0,0,0,0
Comprobado. SER TRANS ES EFECTO SECUNDARIO DE LA CLONACIÓN. url,0,0,0,1,0
@Carlos_Riveero @dyra_nicole aiii el puto y sus mayates jaja asta ke no la violen en campeche,1,0,0,0,0
Ttu te estas tirando a ese trol bizco y sifilitico y yo soy la loca jajajajjajajaj,0,0,0,0,1
“@stevenulloa1: @piko_glez  o para mayates jajaja :) como tu comprenderas jaja” jaja como tulipán jajaja,1,0,0,0,0
@RicardoPD21 Eres marica,1,0,0,0,0
"@Gamborimbo76 @ElPincheJuan4 @GorillaMan06 @cero3801 @SoloPHombres @cexychics @BootyAndMuscles @TittyFucker411 @GeorgeLb66 @alonesantanagar @IsabellaSlut20 @burdubai12 @alexexpress24 @toganuncio @pepe100369 @DivX3 @maskarita4 @saulin10801 @pelon_73 @ElChicarcas6 @bootyisyummy @luisramor1 @Starkiller_36 @tranquilman @lee_ecclestone @oldenchild @DatAssNTittiez @DatAzzPhatAF @AdultModels2018 @Booty_Cartel @xculonas @GymBooty @netocardona @assplosive @manuel70m @Bumblebee_ZD @MmamaceandoO @quehembritas @BrutuslWallie @countryclub3000 @Pillus_75 @RAFAELMEDINAG @rudorivera 👍 Asi es! Nomas que no sean de caballero o de niñas y estamos bien, por que seremos medio pervertidos, pero, ni pedofilos, ni raritos! Y vengan mas culos de viejas buenisimas, no importa, colos, tamaño, ni preferencias politicas, religiosas o futbolisticas!",0,0,0,0,1
Esta Brucita también es mariquita! 💃🏼,1,0,0,0,0
@jc_osorio123 @MauroD_Ortega mauro marica jajaja okok.,1,0,0,0,0
"@AlmaDeliaMC PERO luego tienes un grupo de gente bisexual que criaron enseñando a negar una parte de su sexualidad. PERO SABEN que ahí está, y se la pasan preguntando ""si yo me enseñé a que no me gusten los hombres.. por que chingados este homosexual no puede hacer lo mismo?""",1,0,1,0,0
@Cruzhdz_Sergio @FelipeCalderon @MexLibre_ Chinga tu madre! Puto marica ni foto tienes! Cuando ofendas mínimo da la cara. Pocos huevos!,1,0,0,0,0
Solo los jotos. url,1,0,0,0,0
“@imCarlitoo: No traten de ocultar que les gusta que le metan el pene por la cola. Eso es #SerPrincesoEs puro afeminado.”,1,0,0,0,0
@LVidegaray Puto-Maricón @EPN @rgilzuarth @ildefonsogv Idiotas y corruptos todos @SEDENAmx Para que lo tienen de pie url,1,0,0,0,0
@BarbaraDurango @amelia_waldorf Desafortunadamente la mayoría de las personas proyectamos nuestros traumas y carencias en alguien más y eso no está para nada cool y súmale que los gay tienen complejo de Regina George. 🤷🏽‍♀️,1,0,0,0,0
"Neta no me sorprende, pero qué hueva con los gueis. Un vato bien parecido-mamado pone cosas que  al chile no dan nada de gracia y los jotos de ""Juhjugujugjug te pazas"". url",1,0,0,0,0
@swisingley Díselo a el transgénero que ganó miss España,0,0,0,1,0
A ver si ya me dejas de stalkear maricon,1,0,0,0,0
@uomodisabbia @Chivas @ReligionSagrada @RefuerzosChivas @somos_de_chivas Jajaja. Siempre se tira al piso como maricon. Ya lo confirmó,1,0,0,0,0
"Es de homosexuales, mostrar una foto de la mano arañada por un gato, como si se fueran a morir.",1,0,0,0,0
Me caga lo marica que puedes llegar a ser,1,0,0,0,0
#MexicoVsDominicana como se ve q todo está arreglado para q México gane es falso y Rosique no seas puñal Mao guau no seas puto cabron,1,0,0,0,0
"—Esto es un asalto, deme su dinero y nadie saldrá herido.
—¿Me van a violar?
—No, señora.
—¿Porqué no, son jotos o que?""",1,0,0,0,0
@angelmezaw Hazla de campos de concentración y matan a los jotos,1,0,0,0,0
@nandoreyes Hace rato estaba escuchando la narración que hicimos url Grité los goles como mariquita sin calzones 😂😂😂,1,0,0,0,0
"@ArielURosas @nuxsilva Ayuññ. Pos es que me dicen: OPH, SEND NERDEZ TRANS.

Y yo de.. “AHORA APLICO MI CARTA ARIROSAS Y SU PODER” * música yugioh *",0,0,0,1,1
"Por grito homófobo FIFA multa a México por más de dos millones de pesos url vía @regeneracionmx
Ya está bien de defender a los homosexuales que lo único a lo que nos van a conducir es a la destrucción de la familia, DEPRAVADOS basta de su protagonismo",1,0,0,0,0
@Dbacks ESTAN PARA LLORAR LES DEBERÍA DAR VERGÜENZA BARRIDOS POR LOS @Nationals si no tienen ganas de jugar dedíquense a otra cosa juegan como unas mariquitas 🤬🐀🤮,1,0,0,0,0
Ahora todos piensan que soy lencha 😟😟,0,1,0,0,0
La jota cajera casi me avienta el dinero cuando le dije que no quería redondear. 😂,1,1,0,0,0
@Ovalf_  eso me suena a marica. :v,1,0,0,0,0
@Lalord_ Ya se te quitó lo marica sentida?,1,0,0,0,0
"Ser un maniaco depresivo no es tarea fácil, hay quien piensa que se trata solo de andar chillando con películas de perritos perdidos y la verdad va mas allá de ser un gordo marica.",1,0,0,0,0
@castillejos_m no seas mamon  no seas localista le vas a rayados y no nos jusgas pinche joto,1,0,0,0,0
"¿Qué pedo, putos? ¿Quién les infló tanto el ego, qué les da el valor o quién les hizo tanto daño?",1,0,0,0,0
"‘ Por fin saliste de tu escondite mariquita @ErickSolana 

url vía @YouTube",1,0,0,0,0
Oye @Vahoooz ayudame a hacerle llegar esto al joto ese de @MattMiazga3 url,1,0,0,0,0
@SussiZambar no sea joto 😒,1,0,0,0,0
No tarda en que las jotas liosas se pongan a hacer comparaciones al url 😋 url,1,0,0,0,0
"@MundoLGBTTTI @LGBT @Sexybootyshd @DiosasLesbianas Por mi se pueden morir, no tengo conveniente. @Gay_of_europa url",1,1,0,0,0
@MsCharlotteWWE tu padre es pendejos tu pendeja marica,1,0,0,0,0
"Que muy machin no?
Ah muy machin no?
Marica nena, mas bien putin no?
Que muy machin no?
Ah muy machin no?
Marica nena, mas bien putin no?
Que muy machin no?
Ah muy machin no?
Marica nena, mas bien putin no?
Que muy machin no?
Ah muy machin no? url",1,0,0,0,0
Me daría oso que mi novio se pusiera de joto con sus amigos cuando anda bien pedo @MeDicenChu @FosiZaldivar url,1,0,0,0,0
"@renacova A parte de los penales pésimamente ejecutados, eso no lo dicen ni @CruzAzulCD, ni los maricas de @jerryflores15 o @jesuscorona01.",1,0,0,0,0
"Eres gay u homosexual porque tienes muchos/varios hermanos, la próxima vez que te pregunten puedes decir que es a causa de tus hermanos 🙊 url",1,0,0,0,0
Pero quién coño iría a ver a este asqueroso travesti pitudo maullar? 😷 url,0,0,0,1,0
