fragmento,genero,emocion
Esta mal,Rock,N
Yo no se porque,Rock,S
Mi vieja me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,N
Yo le echo muchas ganas pero...,Rock,P
Nada me sale bien,Rock,N
Y la banda me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,N
Mis niños me dicen,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Yo le echo muchas ganas pero...,Rock,P
Nada me sale bien,Rock,N
Si digo que es blanco,Rock,S
Resulta que es negro,Rock,N
Si digo que es aguila,Rock,S
Seguro cae sol,Rock,N
Si estoy en el cielo,Rock,P
Me siento en el infierno,Rock,N
Si piensas que me amas,Rock,P
Estas en un error,Rock,N
Y la banda me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Mi jefe me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Yo le echo muchas ganas pero,Rock,P
Nada me sale bien,Rock,N
Si me echo un soplado,Rock,S
Me sale con premio,Rock,N
Si quiero hacer del dos,Rock,S
Resulta que no hay papel,Rock,N
Si voy a tirar el miedo,Rock,S
Esta ocupado el retrete,Rock,N
Mejor me agarro el pajarito,Rock,S
Y juego con el,Rock,P
Y la banda me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Mi vieja me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Yo le echo muchas ganas pero,Rock,P
Nada me sale bien,Rock,N
Cuando ya es muy noche,Rock,S
No me puedo dormir,Rock,N
Y luego al otro dia,Rock,S
No me quiero levantar,Rock,N
De cualquier saque de onda,Rock,S
Me echan la bronca a mi,Rock,S
Por eso aunque haga calor,Rock,S
No me calienta ni el sol,Rock,N
Y la banda me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Mi vieja me dice,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Que todo lo que hago,Rock,S
Esta mal,Rock,N
Yo no se porque,Rock,S
Yo le echo muchas ganas pero,Rock,P
Nada me sale bien...,Rock,N
"No estoy acostumbrado, mi primer día sin ti",Rock,N
Que aún digo nosotros cuando estoy pensando en ti,Rock,N
Cuando terminó el verano todo parecía bien,Rock,P
Ahora pienso en todo eso que hablamos sin saber,Rock,S
Que pronto te marcharías sin ninguna explicación,Rock,N
Quizás te parezca fácil que soporte este dolor,Rock,N
Olvidaste algunas cosas en tu rápido partir,Rock,N
Y ahora son como tesoros que conservo para mí,Rock,P
Nunca me dijiste nada acerca de tu pasión,Rock,N
Seducir hasta ganarlo y después decir adiós,Rock,N
Sabías que te marcharías sin ninguna explicación,Rock,N
Quizás te parezca fácil que soporte este dolor,Rock,N
Que cargue con tu dolor,Rock,N
Porque este es mi primer día sin verte,Rock,N
Este es mi primer día sin ti,Rock,S
Y la habitación se me hace gigante,Rock,N
Me siento tan pequeño si no estás aquí,Rock,N
No lo puedo entender,Rock,N
Cuando terminó el verano todo parecía bien,Rock,N
"Pero no me daba cuenta, yo confiaba sin saber",Rock,N
Nunca me dijiste nada acerca de tu pasión,Rock,N
Seducir hasta ganarlo y después decir adiós,Rock,N
Sabías que te marcharías sin ninguna explicación,Rock,N
Quizás te parezca fácil que soporte este dolor,Rock,N
Que cargue con tu dolor,Rock,N
Porque este es mi primer día sin verte,Rock,N
Este es mi primer día sin ti,Rock,N
Y la habitación se me hace gigante,Rock,S
Me siento tan pequeño si no estás aquí,Rock,N
Porque este es mi primer día sin verte,Rock,N
Este es mi primer día sin ti,Rock,N
Y la habitación se me hace gigante,Rock,N
Me siento tan pequeño si no estás aquí,Rock,N
No lo puedo entender,Rock,N
Voy rolando por la gran ciudad,Rock,S
Viendo a miles de personas pasar,Rock,S
Unos van muy serios,Rock,S
Otros van sonriendo,Rock,P
Y otros van corriendo como queriendo escapar,Rock,S
De pronto veo a los niños,Rock,S
Que en la esquina están,Rock,S
Pidiendo pa' un taco,Rock,N
Pidiendo pa' un pan,Rock,N
Sus caritas reflejando la necesidad,Rock,N
Y el vacío que se siente cuando tú no estas,Rock,N
Más prendido que el sol,Rock,P
Más oscuro que la negra noche,Rock,N
Más profundo que el mar,Rock,N
Más absurdo que la realidad,Rock,N
Más ardiente que el fuego infernal,Rock,P
Más inmenso que la eternidad,Rock,P
Así es el vacío que se siente cuando tú no estás,Rock,N
La gente pasa sin voltear a ver,Rock,S
A los pobres niños que no tienen que comer,Rock,N
Algunos les dan algo pero la mayoría no da nada,Rock,N
Y su triste mirada me hace sentir,Rock,N
Yo caminaré entre las piedras,Rock,N
Hasta sentir el temblor en mis piernas,Rock,N
"A veces tengo temor, lo sé",Rock,N
"A veces vergüenza, ooh-oh",Rock,N
Estoy sentado en un cráter desierto,Rock,S
Sigo aguardando el temblor en mi cuerpo,Rock,S
"Nadie me vio partir, lo sé",Rock,N
Nadie me espera,Rock,N
Hay una grieta en mi corazón,Rock,N
Un planeta con desilusión,Rock,N
Se que te encontraré en esas ruinas,Rock,S
Ya no tendremos que hablar (Que hablar),Rock,N
Del temblor,Rock,S
Te besaré en el temblor (Lo sé),Rock,P
Será un buen momento,Rock,N
Hay una grieta en mi corazón,Rock,N
Un planeta con desilusión,Rock,N
El temblor,Rock,S
(Despiértame) Cuando pase el temblor,Rock,S
(Despiértame) Cuando pase el temblor,Rock,S
(Despiértame) Cuando pase el temblor,Rock,S
Despiértame,Rock,S
Despiértame cuando pase el temblor,Rock,S
"Me quieren agitar, me incitan a gritar",Rock,S
"Soy como una roca, palabras no me tocan",Rock,S
"Adentro hay un volcán, que pronto va a estallar",Rock,S
Yo quiero estar tranquilo,Rock,P
"Es mi situación, una desolación",Rock,N
"Soy como un lamento, lamento boliviano",Rock,N
Que un día empezó y no va a terminar,Rock,N
Y a nadie hace daño,Rock,P
"Y yo estoy aquí, borracho y loco (Borracho y loco)",Rock,N
Y mi corazón idiota siempre brillará ( Siempre brillará ),Rock,P
"Y yo te amaré, te amaré por siempre ( Por siempre )",Rock,P
"Nena, no te peines en la cama que los viajeros se van a atrasar( Nena, no te peines en la cama; se van a atrasar )",Rock,S
"Uh-ooh, yo-yo, yo-oh-oh",Rock,S
"Eh-eh-eh-eh, yeh",Rock,S
"Y hoy estoy aquí, borracho y loco (Borracho y loco)",Rock,N
Y mi corazón idiota siempre brillará ( Y mi corazón idiota siempre brillará ),Rock,P
"Y yo te amaré, te amaré por siempre ( Por siempre )",Rock,P
"Nena, no te peines en la cama que los viajeros se van a atrasar( Nena, no te peines en la cama; se van a atrasar )",Rock,S
" yo estoy aquí, borracho y loco (Borracho y loco)",Rock,N
Y mi corazón idiota siempre brillará ( Y mi corazón idiota siempre brillará ),Rock,P
"Y yo te amaré, te amaré por siempre ( Te amaré por siempre )",Rock,P
"Nena, no te peines en la cama que los viajeros se van a atrasar( Nena, no te peines en la cama que los viajeros se van a atrasar )",Rock,S
Compartimos el mismo cielo,Rock,P
Compartimos el mismo anhelo,Rock,P
Compartimos el mismo tiempo,Rock,P
Y el mismo lugar,Rock,S
Fuimos parte de la misma historia,Rock,P
Íbamos en la misma prepa,Rock,S
Yo siempre fui una lacra,Rock,N
Y tú eras del cuadro de honor,Rock,P
Las piedras rodando se encuentran,Rock,S
Y tú y yo algún día nos habremos de encontrar,Rock,P
Mientras tanto cuídate,Rock,P
Y que te bendiga Dios,Rock,S
No hagas nada malo que no hiciera yo,Rock,N
Encendimos el mismo fuego,Rock,P
Competimos en el mismo juego,Rock,S
Compartimos el mismo amor,Rock,P
Y el mismo dolor,Rock,N
La vida nos jugó una broma,Rock,N
Y el destino trazó el camino,Rock,P
Para que cada quien,Rock,S
Se fuera con su cada cual,Rock,S
Las piedras rodando se encuentran,Rock,S
Y tú y yo algún día nos habremos de encontrar,Rock,P
Mientras tanto cuídate,Rock,P
Y que te bendiga Dios,Rock,S
No hagas nada malo que no hiciera yo,Rock,N
Las piedras rodando se encuentran,Rock,S
Y tú y yo algún día nos habremos de encontrar,Rock,P
Mientras tanto cuídate,Rock,P
Y que te bendiga Dios,Rock,S
No hagas nada malo que no hiciera yo,Rock,N
Las piedras rodando se encuentran,Rock,S
Y tú y yo algún día nos habremos de encontrar,Rock,P
Mientras tanto cuídate,Rock,P
Y que te bendiga Dios,Rock,S
No hagas nada malo que no hiciera yo,Rock,N
Y que me traigan más botellas,Rock,S
Para quitarme este sabor de su sudor,Rock,S
Y que me apunten en la cuenta,Rock,S
"Toda la desgracia que dejó, ah",Rock,N
"(Así es la vida, compa)",Rock,S
Que no quieres nada más de mi,Rock,N
Que te fuiste con ese infeliz,Rock,N
"¡Qué importa! (¿Cómo dice, cómo?)",Rock,S
¡Qué importa!,Rock,S
Que me va a matar la depresión,Rock,N
Que voy a vivir en el alcohol,Rock,N
¡Qué importa! (Y jala-jala),Rock,S
¡Qué importa!,Rock,S
"Que te fuiste sin decir ""Adios""",Rock,N
Que no dormirás en mi colchón,Rock,N
"¡Qué importa! (¿Y cómo dice, cómo?)",Rock,S
¡Qué importa!,Rock,S
Que ensuciaste mi reputación,Rock,N
Que te vale madres este amor,Rock,N
"¡Qué importa! (¿Cómo dice, cómo?)",Rock,S
¡Qué importa! (mami),Rock,S
Que te quise demasiado,Rock,P
Y que nadie te ha querido como yo,Rock,N
"Así es la vida, de caprichosa",Rock,N
"A veces negra, a veces color rosa",Rock,S
"Así es la vida, jacarandosa",Rock,N
Te quita; te pone; te sube; te baja ya veces te lo da,Rock,S
"Así es la vida, de caprichosa",Rock,N
"A veces negra, a veces color rosa",Rock,S
"Así es la vida (Mami), jacarandosa (Sube)",Rock,N
Te quita; te pone; te sube; te baja ya veces te lo da,Rock,S
"¡Así es la vida, oye!",Rock,S
Que me desangraste el corazón,Rock,N
Que me haga justicia la nación,Rock,P
"¡Qué importa! (¿Cómo no, cómo no?)",Rock,S
¡Qué importa! (Y viene ya),Rock,S
Que tu vida es como un carnaval,Rock,P
Que tarde o temprano volverá,Rock,P
"¡Qué importa! (¿Y cómo dice, cómo?)",Rock,S
¡Qué importa! (Sube),Rock,S
Y que te quise demasiado,Rock,P
Y que nadie te ha querido como yo,Rock,P
"Así es la vida, de caprichosa",Rock,N
"A veces negra, a veces color rosa",Rock,S
"Así es la vida (Sube), jacarandosa",Rock,P
Te quita; te pone; te sube; te baja ya veces te lo da,Rock,S
Así es la vida,Rock,S
¡Sube!,Rock,S
"Así es la vida, de caprichosa (¡Ah-ya-ye!)",Rock,N
"A veces negra, a veces color rosa",Rock,S
"Así es la vida (Así es la vida), jacarandosa (Ah-ya-ye)",Rock,P
Te quita; te pone; te sube; te baja ya veces te lo da,Rock,S
Así es la vida,Rock,S
"Escúchame, nena (De caprichosa)",Rock,S
Me dejaste esperando (A veces negra),Rock,N
Me jugué la camisa y perdí hasta el encanto (A veces color rosa),Rock,N
Sigue abierta la herida (Así es la vida),Rock,N
Ya me estoy desangrando (Jacarandosa),Rock,N
"Ay, mamita querita, me voy de tu vida y tú sigue' bailando",Rock,S
"Así es la vida (Así es la vida, compa), de caprichosa (A veces negra)",Rock,S
"A veces negra (A veces rosa), a veces color rosa",Rock,S
"Así es la vida (Así es la vida), jacarandosa (Muévelo )",Rock,S
Te quita; te pone; te sube; te baja ya veces te lo da,Rock,S
"Así es la vida, yey",Rock,S
Muchos años uno cree,Rock,S
Que el caer es levantarse,Rock,S
Y de repente...,Rock,S
Ya no te paras,Rock,N
Que el amor es temporal,Rock,N
Que todo te puede pasar,Rock,S
Y de repente...,Rock,S
Estás muy solo,Rock,N
Afuera...,Rock,S
"Afuera tú no existes, solo adentro",Rock,N
Afuera...,Rock,S
"Afuera no te cuido, solo adentro",Rock,N
Afuera...,Rock,S
Te desbarata el viento sin dudarlo,Rock,N
Afuera...,Rock,S
"Nadie es nada, solo adentro",Rock,N
Siguen los años y uno está,Rock,S
Creyendo que puede rezar,Rock,S
Y de repente...,Rock,S
Ya te perdiste,Rock,N
Y uno cree que puede creer,Rock,S
Y tener todo el poder,Rock,P
Y de repente...,Rock,S
No tienes nada,Rock,N
Afuera...,Rock,S
"Afuera tú no existe, solo adentro",Rock,N
Afuera...,Rock,S
"Afuera no te cuido, solo adentro",Rock,N
Afuera...,Rock,S
Te desbarata el viento sin dudarlo,Rock,N
Afuera...,Rock,S
"Nadie es nada, solo adentro",Rock,N
Aa- ah...,Rock,S
Ah-ah...,Rock,S
Afuera...,Rock,S
"Afuera tú no existes, solo adentro",Rock,N
Afuera...,Rock,S
"Afuera no te cuido, solo adentro",Rock,N
Afuera...,Rock,S
Te desbarata el viento sin dudarlo,Rock,N
Afuera. ..,Rock,S
"Nadie es nada, solo adentro",Rock,N
¿Cuántas veces me mirabas sin ponerte a pensar?,Rock,P
¿Cuántas veces yo soñaba con tu cuerpo acariciar?,Rock,P
¿Cuántas veces tus manos y mis manos fueron cómplices de piel?,Rock,P
"¿Cuántas veces nos miramos, nos tocamos hasta el amanecer?",Rock,P
Y el tiempo pasó y todo cambió,Rock,N
Y el tiempo pasó y todo acabó,Rock,N
Y esta noche va este trago por ti,Rock,N
Esta noche quisiera estuvieras aquí,Rock,P
¿Cuántas veces te besaba y comenzabas a volar?,Rock,P
"¿Qué me dices de esos días?, no parábamos de amar",Rock,P
"¿Cuántas cosas se nos fueron de las manos sin pensarlo, sin querer?",Rock,P
Y ese tiempo tan bueno que pasamos que jamás podrá volver,Rock,P
¿Cuántas veces te pedí que te olvidaras de las cosas del ayer?,Rock,N
¿Cuántas veces me pediste respetar tu manera de ser?,Rock,S
¿Cuántas veces nos hemos ofendido y otras tantas gritarnos al oído?,Rock,N
¿Cuántas veces nos hemos enfrentado y el amor se quedó de lado?,Rock,N
Y el tiempo pasó y todo cambió,Rock,N
Y el tiempo pasó y todo acabó,Rock,N
Y dejamos pasar nuestros momentos,Rock,N
Y cansados no hicimos el intento,Rock,N
De salvar lo que juntos construimos,Rock,N
Los momentos que día con día vivimos,Rock,P
"Y tomando aquí, muy lejos de ti",Rock,N
Dando tiempo a que se me curen las heridas,Rock,P
"Y sentado aquí, en la estación",Rock,S
La añoranza tuya para esta canción,Rock,N
Por tanto tiempo vete al infierno,Rock,N
"Tantos reproches, tanto arrebato",Rock,N
"Y esta noche, tan solo esta noche",Rock,S
Y esta noche yo quisiera brindar por ti,Rock,P
Estoy llorando en mi habitación,Rock,N
Todo se nubla a mi alrededor,Rock,N
Ella se fue con un niño pijo,Rock,N
Tiene un Ford Fiesta blanco,Rock,S
Y un jersey amarillo,Rock,S
Por el parque les veo pasar,Rock,S
Cuando se besan lo paso fatal,Rock,N
Voy a vengarme de ese marica,Rock,N
Voy a llenarle el cuello de polvos picapica,Rock,N
"Sufre, mamón, devuélveme a mi chica",Rock,N
O te retorcerás entre polvos picapica,Rock,N
"Sufre, mamón, devuélveme a mi chica",Rock,N
O te retorcerás entre polvos picapica,Rock,N
Le he quemado su jersey,Rock,N
Se ha comprado cinco o seis,Rock,S
Voy a destrozarle el coche,Rock,N
"Lo tengo preparado, voy esta noche",Rock,S
No te reirás nunca más de mí,Rock,P
"Lo siento, nene, vas a morir",Rock,N
Tú me quitaste lo que más quería,Rock,N
"Y volverá conmigo, volverá algún día",Rock,N
"Sufre, mamón, devuélveme a mi chica",Rock,N
O te retorcerás entre polvos picapica,Rock,N
"Sufre, mamón, devuélveme a mi chica",Rock,N
O te retorcerás entre polvos picapica,Rock,N
"Sufre, mamón, devuélveme a mi chica",Rock,N
O te retorcerás entre polvos picapica,Rock,N
"Sufre, mamón, devuélveme a mi chica",Rock,N
O te retorcerás entre polvos picapica,Rock,N
Sé que es tarde ya para pedir perdón,Rock,N
Sé que es tarde ya y lo siento termina nuestro amor,Rock,N
Si ya nada funciona contigo el intento no va más allá,Rock,N
No me pidas dale tiempo al tiempo no puedo esperar,Rock,N
Si la culpa fue tuya o fue mía el saberlo ya no servirá,Rock,N
No me pidas que sea tu amigo te aseguro no funcionará,Rock,N
Solo unos minutos te pido voy a ahorrarte tener que explicar,Rock,N
Diferencia entre novio y amigo ¿Cuánto tiempo puede funcionar?,Rock,N
Y con vodka pretendo olvidarte mis amigos y esta canción,Rock,N
Porque sé que siempre,Rock,S
Que siempre es amargo el adiós,Rock,N
Sé que es tarde ya para pedir perdón,Rock,N
Sé que es tarde ya y lo siento termina nuestro amor,Rock,N
Sé que es tarde ya para pedir perdón,Rock,N
Sé que es tarde ya y lo siento termina nuestro amor,Rock,N
Solo unos minutos te pido voy a ahorrarte tener que explicar,Rock,S
Diferencia entre novio y amigo ¿Cuánto tiempo puede funcionar?,Rock,N
Y con vodka pretendo olvidarte mis amigos y esta canción,Rock,N
Porque sé que siempre,Rock,S
Que siempre es amargo el adiós,Rock,N
Sé que es tarde ya para pedir perdón,Rock,N
Sé que es tarde ya y lo siento termina nuestro amor,Rock,N
Sé que es tarde ya para pedir perdón,Rock,N
Sé que es tarde ya y lo siento termina nuestro amor,Rock,N
Sé que es tarde ya y lo siento termina nuestro amor,Rock,N
Sé que es tarde ya y lo siento amargo es el adiós,Rock,N
"Compa, ¿qué le parece esa morra?",Banda,S
La que anda bailando sola me gusta pa' mí,Banda,S
¡Bella! Ella sabe que está buena,Banda,P
Que todos andan mirándola cómo baila,Banda,P
Me acerco y le tiro todo un verbo,Banda,P
"Tomamos tragos sin peros, solo tentación",Banda,P
"Le dije: ""Voy a conquistar tu familia, que en unos días vas a ser mía""",Banda,P
"Me dijo que estoy muy loco, pero le gusta",Banda,P
Que ningún vato como yo actúa,Banda,S
"Y ahí te va, mija",Banda,S
"Y pura Doble P, viejo",Banda,S
"Así nomás, compa Pedro",Banda,S
Puro Eslabon Armado,Banda,S
Pa' las plebitas,Banda,S
No soy un vato que tiene varo,Banda,N
Pero hablando del corazón te cumplo todo,Banda,P
Me agarró pegadito dе su mano,Banda,P
"Mi compa ni se la creyó, que al pasar fui yo",Banda,S
"Su cuеrpo, juro por Dios, que era tan perfecta",Banda,P
Su cinturita como modelo,Banda,P
Sus ojos desde el principio me enamoraron,Banda,P
A ella le gusto y a mí me gusta,Banda,P
Qué bonita se ve,Banda,S
Y ya miró que la miré,Banda,P
Y me sonrió,Banda,S
Le gusté y me gustó,Banda,P
Está como pa' mí,Banda,P
Como pa' que viva aquí,Banda,P
En mi corazón,Banda,S
Y hacerla feliz,Banda,P
Es cuestión que quiera,Banda,S
Y le entrego todo,Banda,P
Yo sabré cuidarla mi amor,Banda,P
Quererla a mi modo,Banda,P
"Pero a la antigüita, bonita",Banda,P
A la antigüita,Banda,S
"Serenatas, besos",Banda,P
Flores y cartitas,Banda,P
"Tengo mucho amor, mi vida",Banda,P
Pa' tirar pa' arriba,Banda,S
"Pero a la antigüita, bonita",Banda,P
A la antigüita,Banda,S
Usted no es opción,Banda,S
Es un privilegio,Banda,P
Si me da el honor de tenerla,Banda,P
Yo voy a quererla bonita,Banda,P
Pero a la antigüita,Banda,S
"¡Y puro calibre 50, chiquitita!",Banda,S
Es cuestión que quiera,Banda,P
Y le entrego todo,Banda,P
"Yo sabré cuidarla, mi amor",Banda,P
Quererla a mi modo,Banda,S
"Pero a la antigüita, bonita",Banda,P
A la antigüita,Banda,S
"Serenatas, besos",Banda,P
Flores y cartitas,Banda,P
"Tengo mucho amor, mi vida",Banda,P
Pa' tirar pa' arriba,Banda,P
"Pero a la antigüita, bonita",Banda,P
A la antigüita,Banda,S
Usted no es opción,Banda,S
Es un privilegio,Banda,P
Si me da el honor de tenerla,Banda,P
Yo voy a quererla bonita,Banda,P
Pero a la antigüita,Banda,S
Me hubieras dicho,Banda,S
Que no tenías ganas de enamorarte,Banda,N
"Tal vez, te hubiera dicho",Banda,N
Que por favor buscarás en otra parte,Banda,N
"Y en vez, de eso dijiste",Banda,S
Que tú veías esta vida conmigo,Banda,N
Y como yo si me miraba contigo,Banda,N
Sin darme cuenta en tus palabras creí y así caí,Banda,N
Si hubiera sabido que quería jugar,Banda,S
Que esto sólo era una aventura más,Banda,N
Me hubiera medido,Banda,N
Y no hubiera entregado todo de mi parte,Banda,N
Y ahora que lo entiendo,Banda,N
"Es demasiado tarde, ya me lastimaste",Banda,N
Si hubiera sabido que quería jugar,Banda,N
Que sólo era objeto de tu intimidad,Banda,N
Me hubiera guardado,Banda,N
"Los mejores besos, esos que te daba",Banda,N
Para alguien sincera que si le importan,Banda,N
Para otra persona que si los valorara,Banda,N
Si hubiera sabido,Banda,N
Me hubiera gustado ser menos tuyo,Banda,N
Y más mío,Banda,S
¡Mi amor!,Banda,P
Pero dijiste,Banda,S
Que tú veías esta vida conmigo,Banda,N
Y como yo si me miraba contigo,Banda,N
Sin darme cuenta en tus palabras creí y así caí,Banda,N
Si hubiera sabido que querías jugar,Banda,N
Que esto sólo era una aventura más,Banda,N
Me hubiera medido,Banda,N
Y no hubiera entregado todo de mi parte,Banda,N
"Y ahora que lo entiendo es demasiado tarde, ya",Banda,N
me lastimaste,Banda,N
si hubiera sabido que querías jugar que sólo era un,Banda,N
objeto de tu intimidad otra persona que si me valora,Banda,N
Quisiera nunca haberte conocido,Banda,N
Ni jamás haber probado tus besos,Banda,N
Quisiera haber nacido en otro siglo,Banda,N
Y así evitar el daño que me has hecho,Banda,N
Quisiera repetir ese pasado,Banda,S
Que dejo tantas heridas en mi alma,Banda,N
Para no cometer el mismo error,Banda,N
Y así evadir cada una de tus trampas,Banda,N
Pero ya es muy tarde,Banda,N
El mal ya esta hecho,Banda,N
Pues he sido en tu vida solo tu desecho,Banda,N
Que después que te divertiste lo abandonas,Banda,N
Hoy sin remordimientos dices que te deje sola,Banda,N
Y para colmo mis males,Banda,N
Solamente dios sabe,Banda,S
Lo mucho que te quiero,Banda,P
Y lo que te he defendido,Banda,P
La gente me juraba que no me convenías,Banda,N
"Que tu no eras buena, y yo te lo creía",Banda,N
Pues a mi no me importaba,Banda,N
Porque yo me soñaba toda mi vida junto a ti,Banda,N
Mientras tu te reías de mi,Banda,N
Ahora me doy cuenta que en ti no hay inocencia,Banda,N
Tienes corazón de piedra pues no te importo hacerme sufrir...,Banda,N
ARROLLADORA,Banda,S
Pero ya es muy tarde,Banda,N
El mal ya esta hecho,Banda,N
Pues he sido en tu vida solo un desecho,Banda,N
Que después que te divertiste lo abandonas,Banda,N
Hoy sin remordimientos dices que te deje sola,Banda,N
Y para colmo mis males,Banda,N
Solamente dios sabe,Banda,S
Lo mucho que te quiero,Banda,N
Y lo que te he defendido,Banda,P
La gente me juraba que no me convenías,Banda,N
"Que tu no eras buena, y yo te lo creía",Banda,N
Pues a mi no me importaba,Banda,N
Porque yo me soñaba toda mi vida junto a ti,Banda,N
Mientras tu te reías de mi,Banda,N
Ahora me doy cuenta que en ti no hay inocencia,Banda,N
Tienes corazón de piedra pues no te importo hacerme sufrir,Banda,N
Me hiciste heridas,Banda,N
Heridas fuertes,Banda,N
Heridas en el alma,Banda,N
Que acabaron con las ganas de seguir dándote amor,Banda,N
Quien te pago,Banda,N
Quien te ordeno,Banda,S
Por cuantos pinches pesos,Banda,S
Tú le has hecho mil heridas a mi corazón,Banda,N
Pero la culpa es mía,Banda,N
Por mi ironía,Banda,S
Porque un amigo dijo,Banda,S
Que me apostaba su vida,Banda,N
A que tú me engañarías,Banda,N
Yo no creía,Banda,S
Me moleste,Banda,N
Y hasta perdí un amigo,Banda,N
Por haberte defendido,Banda,P
Ayayay me equivoque,Banda,N
Yo no bebía,Banda,S
Pero el tequila,Banda,S
Me dijo que tus besos,Banda,P
Los podía borrar a tragos,Banda,N
Metido en una cantina,Banda,S
Y aun tengo heridas,Banda,N
Heridas tuyas,Banda,N
Porque cada canción me trae recuerdos,Banda,P
Y te juro que no miento,Banda,N
Que no miento,Banda,N
Que no miento,Banda,N
No te olvido todavía,Banda,N
Mil heridas,Banda,N
Mil heridas,Banda,N
Mil botellas me he tomado,Banda,N
Por tu maldito recuerdo en mil cantinas,Banda,N
Mil cantinas,Banda,S
Mil cantinas donde quiero ir a olvidarte y no te olvido,Banda,N
No te olvido,Banda,N
No te olvido todavía,Banda,N
Mil heridas,Banda,N
Mil heridas,Banda,N
Mil espinas,Banda,N
Me has clavado,Banda,N
Y he sangrado por tu culpa,Banda,N
Que ironía,Banda,S
Quien diría,Banda,S
Que después de haberte amado,Banda,P
Y de haberte dado todo,Banda,N
Todo,Banda,S
Todo,Banda,S
Tanto me lastimarías,Banda,N
Huoohoohoohoohoohohoouhooo,Banda,S
Por tu culpa,Banda,N
Mil heridas,Banda,N
Pero la culpa es mía,Banda,N
Por mi ironía,Banda,S
Porque un amigo dijo,Banda,S
Que me apostaba su vida,Banda,N
A que tú me engañarías,Banda,N
Yo no creía,Banda,N
Me moleste,Banda,N
Y hasta perdí un amigo,Banda,N
Por haberte defendido,Banda,N
Ayayay me equivoque,Banda,N
Yo no bebía,Banda,S
Pero el tequila,Banda,S
Me dijo que tus besos,Banda,P
Los podía borrar a tragos,Banda,N
Metido en una cantina,Banda,S
Y aun tengo heridas,Banda,N
Heridas tuyas,Banda,N
Porque cada canción me trae recuerdos,Banda,S
Y te juro que no miento,Banda,P
Que no miento,Banda,P
Que no miento,Banda,P
No te olvido todavía,Banda,N
Mil heridas,Banda,N
Mil heridas,Banda,N
Mil botellas me he tomado,Banda,N
Por tu maldito recuerdo en mil cantinas,Banda,N
Mil cantinas,Banda,S
Mil cantinas donde quiero ir a olvidarte y no te olvido,Banda,N
No te olvido,Banda,N
No te olvido todavía,Banda,N
Mil heridas,Banda,N
Mil heridas,Banda,N
Mil espinas,Banda,N
Me has clavado,Banda,N
Y he sangrado por tu culpa,Banda,N
Que ironía,Banda,S
Quien diría,Banda,S
Que después de haberte amado,Banda,P
Y de haberte dado todo,Banda,P
Todo,Banda,S
Todo,Banda,S
Tanto me lastimarias,Banda,N
Por tu culpa,Banda,N
Mil heridas,Banda,N
Quise mi piel llenarla de tatuajes,Banda,S
Pa' cubrir los besos que dejaste,Banda,N
Puedo ocultar la historia que vivimos,Banda,N
Pero no puedo borrarte,Banda,N
Dicen que el tiempo va a curarlo todo,Banda,S
Y sé que es mentira,Banda,P
Es imposible que pueda olvidar,Banda,N
Al amor de mi vida,Banda,P
Ni tomando como loco,Banda,N
Ni con otro amor tampoco,Banda,N
Lo que duró varios meses,Banda,S
Va a dolerme para toda una vida,Banda,N
"Cuando dije: ""Haz lo que quieras, vete si te quieres ir""",Banda,N
No era lo que quería,Banda,N
Duelе más saber que mis acciones,Banda,N
Fuеron decepciones y no un simple enojo,Banda,N
Las heridas que te hice nunca te abrieron la piel,Banda,N
Pero te abrieron los ojos,Banda,S
Y ahora me toca aceptarlo,Banda,P
Aunque me cueste tanto hacerlo,Banda,N
Que ya no somos ni seremos,Banda,N
Dicen que el tiempo va a curarlo todo,Banda,S
Y sé que es mentira,Banda,N
Es imposible que pueda olvidar,Banda,N
Al amor de mi vida,Banda,N
Ni tomando como loco,Banda,N
Ni con otro amor tampoco,Banda,N
Lo que duró varios meses,Banda,S
Va a dolerme para toda una vida,Banda,N
"Cuando dije: ""Haz lo que quieras, vete si te quieres ir""",Banda,N
No era lo que quería,Banda,N
